,orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
0,10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
1,10249,TOMSP,6,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
2,10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
3,10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,3,148.33,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland
4,10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
5,10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
6,10259,CENTC,4,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
7,10260,OTTIK,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
8,10262,RATTC,8,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
9,10263,ERNSH,9,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10,10264,FOLKO,6,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
11,10266,WARTH,3,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996-07-31 00:00:00.000,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
12,10267,FRANK,4,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany
